VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes_aegypti,150,published,point,-999,26.35,-80.09,1968,United States of America,USA,259,NA
Aedes_aegypti,152,published,point,-999,27.19,-80.25,1968,United States of America,USA,259,NA
Aedes_aegypti,153,published,point,-999,27.77,-97.41,1968,United States of America,USA,259,NA
Aedes_aegypti,154,published,point,-999,28.03,-97.5,1968,United States of America,USA,259,NA
Aedes_aegypti,155,published,point,-999,28.55,-81.77,1968,United States of America,USA,259,NA
Aedes_aegypti,156,published,point,-999,28.59,-81.35,1968,United States of America,USA,259,NA
Aedes_aegypti,157,published,point,-999,28.79,-81.28,1968,United States of America,USA,259,NA
Aedes_aegypti,158,published,point,-999,28.81,-81.88,1968,United States of America,USA,259,NA
Aedes_aegypti,159,published,point,-999,29.03,-81.31,1968,United States of America,USA,259,NA
Aedes_aegypti,160,published,point,-999,29.06,-82.46,1968,United States of America,USA,259,NA
Aedes_aegypti,161,published,point,-999,29.19,-82.14,1968,United States of America,USA,259,NA
Aedes_aegypti,162,published,point,-999,29.21,-81.03,1968,United States of America,USA,259,NA
Aedes_aegypti,163,published,point,-999,29.42,-98.5,1968,United States of America,USA,259,NA
Aedes_aegypti,164,published,point,-999,29.42,-98.5,1968,United States of America,USA,259,NA
Aedes_aegypti,165,published,point,-999,29.57,-97.97,1968,United States of America,USA,259,NA
Aedes_aegypti,166,published,point,-999,29.65,-81.65,1968,United States of America,USA,259,NA
Aedes_aegypti,167,published,point,-999,29.75,-95.35,1968,United States of America,USA,259,NA
Aedes_aegypti,168,published,point,-999,29.9,-81.32,1968,United States of America,USA,259,NA
Aedes_aegypti,169,published,point,-999,29.95,-82.11,1968,United States of America,USA,259,NA
Aedes_aegypti,170,published,point,-999,30,-81.69,1968,United States of America,USA,259,NA
Aedes_aegypti,171,published,point,-999,30.29,-81.4,1968,United States of America,USA,259,NA
Aedes_aegypti,172,published,point,-999,30.34,-95.09,1968,United States of America,USA,259,NA
Aedes_aegypti,173,published,point,-999,30.42,-87.23,1968,United States of America,USA,259,NA
Aedes_aegypti,174,published,point,-999,30.48,-90.11,1968,United States of America,USA,259,NA
Aedes_aegypti,175,published,point,-999,30.63,-87.05,1968,United States of America,USA,259,NA
Aedes_aegypti,176,published,point,-999,30.68,-81.45,1968,United States of America,USA,259,NA
Aedes_aegypti,177,published,point,-999,30.85,-96.98,1968,United States of America,USA,259,NA
Aedes_aegypti,178,published,point,-999,31.09,-97.36,1968,United States of America,USA,259,NA
Aedes_aegypti,179,published,point,-999,31.33,-94.73,1968,United States of America,USA,259,NA
Aedes_aegypti,180,published,point,-999,31.6,-94.66,1968,United States of America,USA,259,NA
Aedes_aegypti,181,published,point,-999,31.76,-95.63,1968,United States of America,USA,259,NA
Aedes_aegypti,182,published,point,-999,31.79,-95.15,1968,United States of America,USA,259,NA
Aedes_aegypti,183,published,point,-999,31.86,-81.63,1968,United States of America,USA,259,NA
Aedes_aegypti,184,published,point,-999,32.32,-90.89,1968,United States of America,USA,259,NA
Aedes_aegypti,185,published,point,-999,32.37,-88.71,1968,United States of America,USA,259,NA
Aedes_aegypti,186,published,point,-999,32.48,-93.77,1968,United States of America,USA,259,NA
Aedes_aegypti,187,published,point,-999,32.49,-94.07,1968,United States of America,USA,259,NA
Aedes_aegypti,188,published,point,-999,32.75,-97.33,1968,United States of America,USA,259,NA
Aedes_aegypti,245,published,point,-999,25.62,-80.35,1969,United States of America,USA,259,NA
Aedes_aegypti,246,published,point,-999,31.33,-85.7,1969,United States of America,USA,259,NA
Aedes_aegypti,247,published,point,-999,32.01,-81.15,1969,United States of America,USA,259,NA
Aedes_aegypti,248,published,point,-999,32.32,-89.03,1969,United States of America,USA,259,NA
Aedes_aegypti,249,published,point,-999,32.32,-89.02,1969,United States of America,USA,259,NA
Aedes_aegypti,250,published,point,-999,32.33,-88.93,1969,United States of America,USA,259,NA
Aedes_aegypti,251,published,point,-999,32.37,-84.96,1969,United States of America,USA,259,NA
Aedes_aegypti,252,published,point,-999,32.37,-88.71,1969,United States of America,USA,259,NA
Aedes_aegypti,253,published,point,-999,33.42,-82.16,1969,United States of America,USA,259,NA
Aedes_aegypti,254,published,point,-999,33.71,-84.43,1969,United States of America,USA,259,NA
Aedes_aegypti,255,published,point,-999,33.72,-85.78,1969,United States of America,USA,259,NA
Aedes_aegypti,256,published,point,-999,34.05,-80.78,1969,United States of America,USA,259,NA
Aedes_aegypti,289,published,point,-999,29.21,-82.15,1970,United States of America,USA,259,NA
Aedes_aegypti,323,published,point,-999,34.45,-81.78,1971,United States of America,USA,259,NA
Aedes_aegypti,373,published,point,-999,29.67,-82.36,1972,United States of America,USA,259,NA
Aedes_aegypti,374,published,point,-999,41.18,-73.89,1972,United States of America,USA,259,NA
Aedes_aegypti,532,published,point,-999,29.67,-82.36,1975,United States of America,USA,259,NA
Aedes_aegypti,637,published,point,-999,29.29,-94.8,1979,United States of America,USA,259,NA
Aedes_aegypti,638,published,polygon,NA,29.93,-90.08,1979,United States of America,USA,259,NA
Aedes_aegypti,639,published,point,-999,29.94,-90.05,1979,United States of America,USA,259,NA
Aedes_aegypti,640,published,point,-999,29.94,-90.05,1979,United States of America,USA,259,NA
Aedes_aegypti,641,published,point,-999,29.96,-90.06,1979,United States of America,USA,259,NA
Aedes_aegypti,642,published,polygon,NA,29.97,-90.02,1979,United States of America,USA,259,NA
Aedes_aegypti,643,published,point,-999,29.98,-90.05,1979,United States of America,USA,259,NA
Aedes_aegypti,667,published,point,-999,25.9,-97.5,1980,United States of America,USA,259,NA
Aedes_aegypti,668,published,polygon,NA,26.12,-97.53,1980,United States of America,USA,259,NA
Aedes_aegypti,669,published,polygon,NA,26.39,-98.18,1980,United States of America,USA,259,NA
